62-3936,Dania,Mayeda,1996-11-30,4.43
46-3765,Jorry,Ricarda,1996-04-16,4.05
45-2080,Shell,Evvie,1998-12-14,1.98
84-1660,Marita,Fairweather,1994-05-23,1.08
46-9613,Kassey,Denis,1997-07-20,2.98
80-7477,Nerta,Jethro,1990-02-13,4.42
46-2379,Lorne,Dawkins,1994-04-27,4.7
70-5097,Dyann,Kaete,1996-09-07,2.34
45-3324,Aili,Ade,1994-12-16,1.6
46-2839,Ivett,Rona,1998-02-13,4.46
87-6044,Cecile,Glovsky,1998-04-21,4.44
89-3973,Lorne,Prober,1998-05-21,3.95
46-9848,Regina,Modie,1993-02-23,1.76
46-3092,Britte,Lanita,1991-09-01,1.79
88-7707,Mariele,Sothena,1992-11-29,2.69
48-2717,Desirae,Blake,1992-10-30,1.61
80-3252,Althea,Judye,1999-06-22,2.27
44-5569,Ayn,Rugen,2000-09-14,1.3
57-6499,Dode,Letsou,1991-01-04,3.49
44-9104,Nessie,Maribeth,1992-12-06,3.88
46-8943,Ardeen,Nedrud,1991-03-01,2.86
48-8429,Ninnetta,Rona,1996-10-28,2.7
44-4141,Yvonne,Lubin,1991-10-01,1.41
48-5681,Vere,Frodi,2000-06-30,1.18
68-3368,Sheelagh,Ephrem,2000-12-10,3.93
84-4478,Rhoda,Ventre,1991-09-12,4.14
86-4111,Lilith,Garek,1999-11-09,4.44
44-9198,Adele,Thema,1997-04-02,2.02
84-3864,Giustina,Hanshaw,1994-07-25,2.53
75-2764,Elora,Fry,1990-09-29,3.33
47-8582,Chastity,Jary,1990-07-17,0.88
55-4105,Evita,Chabot,1992-03-27,0.89
47-4547,Adele,Socha,1999-07-06,3.05
86-4047,Micheline,Ogren,1999-11-06,4.76
86-7359,Ileana,Pip,1997-07-13,3.19
46-8636,Fanchon,Bahr,2000-10-11,2.88
49-9589,Correy,Lea,1992-01-16,1.1
71-2966,Charlena,Truc,1999-02-12,2.24
44-0762,Fayre,Aida,1995-02-27,4.23
59-6204,Lexine,Dermott,1998-07-02,4.59
66-7096,Mara,Si,1995-01-13,0.85
44-4704,Winifred,Yorick,1999-03-04,2.1
74-2780,Emmey,Haldas,1994-10-19,2.31
46-7114,Kathi,Kravits,2000-09-14,3.79
70-1899,Meghann,Knowling,1993-02-02,1.23
45-1986,Chloris,Leonard,1993-12-31,1.52
46-8356,Lyssa,Ball,1996-04-12,1.85
46-1515,Jean,Garrison,2000-07-05,3.4
46-0297,Veda,Hillel,1995-04-18,3.07
45-1613,Zia,Jarib,1990-12-06,4.47
86-4745,Romona,Raychel,1996-12-09,2.45
49-2368,Georgina,Karylin,1992-09-28,2.6
48-1493,Winifred,Lay,1996-02-06,1.98
46-5056,Mireielle,Rocray,1999-07-21,2.42
69-8811,Ilse,Cassius,1999-09-27,4.06
87-0916,Fernande,Whiffen,1995-09-19,1.76
44-1044,Elbertina,Stilwell,1996-07-11,4.61
49-9367,Tressa,Destinee,1998-10-28,1.32
44-9840,Nanete,Berl,1991-10-10,3.49
49-3458,Suzette,Leopold,1996-12-07,2.43
49-6372,Riannon,Friede,1994-05-16,3.01
49-8066,Nataline,Remmer,1998-04-02,1.87
74-5042,Sue,Corabella,1993-07-06,1.58
47-8781,Viki,Zeeba,1992-07-05,3.13
46-8372,Adelle,Roxanna,2000-05-09,1.54
46-6436,Harmonia,Doig,1995-04-06,2.28
48-2663,Jordan,Vernier,1990-03-15,1.64
46-5988,Gretal,Bluh,1998-05-26,3.99
48-6085,Queenie,Lubin,1999-07-11,4.02
87-4697,Linet,Duwalt,1995-09-11,3.82
89-9423,Angelique,Lynn,1998-11-23,1.23
52-7748,Berta,Gilmour,2000-02-28,4.42
77-8969,Chickie,Quent,1999-04-19,3.11
76-5399,Jemie,Silvan,1990-03-09,0.81
44-4507,Sibella,Leonard,1993-07-30,1.38
49-0860,Ariela,Toni,1997-03-20,3.82
46-3489,Raina,Bettine,1990-02-11,3.36
49-5042,Bill,Soneson,1993-08-08,2.78
44-7485,Marnia,Blake,1999-06-11,4
68-6984,Sandie,Charity,1998-06-09,2.1
56-7702,Rosabelle,Read,1992-04-08,3.32
44-7448,Jenda,Tayib,1990-01-29,1.58
48-3865,Kylynn,Brenn,1993-07-14,1.1
47-9372,Laure,Frendel,1994-09-04,3.61
83-6137,Odessa,Hewitt,2000-09-23,2.47
71-0607,Corina,Kunin,1995-07-05,3.56
47-9662,Felice,Tippets,1997-10-15,4.28
46-2208,Shell,Eldrid,1998-11-09,2.23
44-3134,Maud,Cristi,1993-12-17,1.98
84-8459,Tybie,Sammons,1992-03-20,2.81
45-0853,Kaia,Saint,1997-05-29,1.9
55-5405,Charmaine,Medrek,1995-09-24,4.32
48-1050,Doro,Rooney,1990-05-25,0.99
49-0546,Thalia,Tatianas,1996-06-07,2.02
46-5540,Jinny,Codding,1997-04-19,1.36
73-2861,Gabriellia,Tannie,1991-09-24,2.59
78-6697,Karolina,Kronfeld,1991-04-02,3.42
48-3617,Rhoda,Junie,1991-08-15,1.01
45-3544,Cacilie,Parsaye,2000-02-01,4.64
44-3597,Sindee,Alarise,1992-08-11,4.8
88-4584,Tonia,Yerkovich,1997-06-05,2.83
57-1434,Pollyanna,Roscoe,1994-11-18,3.31
46-6549,Yetty,Johanna,1992-08-11,2.66
46-3198,Sashenka,Andrel,1994-07-04,1.37
48-1258,Jenda,Lacombe,1993-06-26,1.68
44-2611,Ruthe,Gabrielli,1999-06-16,3.62
60-1849,Penelopa,Paton,1995-02-25,3.37
46-9334,Lynde,Jobi,2000-12-09,3.31
62-5023,Annabela,Clarissa,1997-03-06,2.69
45-5313,Queenie,Stacy,1994-03-02,2.01
89-8182,Elora,Durware,1991-01-07,4.17
49-5094,Glynnis,Sibyls,1991-10-25,4.4
76-4267,Dari,Skurnik,1997-04-28,2.95
82-6292,Sadie,Darrell,1991-01-04,2.26
72-9846,Nariko,Giule,2000-07-01,3.92
47-0056,Shaylyn,Gregrory,1999-10-30,2.63
81-3081,Dyann,Stanwood,1994-02-01,1.76
47-8366,Grier,Naor,1991-03-10,1.83
51-1915,Nadine,Torray,2000-12-20,3.62
80-4174,Jan,Grobe,1992-01-13,3.21
45-6969,Heida,Dominy,1996-05-25,1.88
76-2336,Kylynn,Goldina,2000-08-18,3.25
44-1890,Gretal,Ortrude,1996-06-30,4.4
73-3032,Rayna,Winthorpe,1996-11-23,3.77
86-1524,Augustine,Han,1997-10-15,2.78
44-4058,Jeanna,Hessler,1995-06-12,3.5
65-2941,Lucy,Curren,1996-03-01,1.12
48-2362,Talya,Roxanna,1998-07-08,3.34
46-1036,Rori,Zitvaa,1990-02-10,1.08
71-4109,Jessy,Vanni,1994-03-14,2.05
